DMPAG,DLPAG,LPAG,VLPAG,PAG
0.559598043346844,0.994376607084237,0.616526768448079,0.435217942881367,0.309991269695751
0.643217406364236,0.804096756504399,0.447577206428098,1.06046480768774,0.2961294437612
0.499978230295976,0.715281765351472,0.567373725874512,0.443364770084753,0.229069234934174
0.393516194325598,0.633000824219469,0.521372931780988,0.697546485148767,0.281068120858909
0.5021124421241,0.879581551535953,0.541793597212822,0.565880569660198,0.313375104917845
0.422207064597641,0.56352610642411,0.909403168726713,1.09717432093378,0.565406352954229
0.518218339693851,0.598834472841553,0.483522924723498,0.611186182521782,0.3269593836606
0.388978770649251,0.768070191040423,0.588229395981525,0.95023802706111,0.442965494077876
0.526847175338997,0.755402687526409,0.556195196001294,0.760588897856459,0.283371751411916
0.525793642134885,0.535903435803951,0.653479212224753,0.891240283289741,0.388322015429465
0.543554987696596,0.470622726230607,0.478993775048112,0.7762009134678,0.443737414617345
0.381632046742631,0.632387252628333,0.489256148961395,0.647359560291433,0.448385958595359
0.279432875537699,0.589334106884766,0.514736638112231,0.762060310695779,0.310364722573443
0.50749579113843,0.665761450985684,0.466419671070158,0.35196919935126,0.3678383589227
0.255473785412437,0.627734905782388,0.691999244102767,0.520526695296637,0.360303096114516
0.379566686798076,0.440037192776328,0.432561964152545,0.369973341097393,0.367272193244623
0.326107130385743,0.737997786899772,0.539309649298458,0.672055013848513,0.32110476452889
0.203389830508475,0.581579710741545,0.478025575855067,0.524153220449931,0.269327324591365
0.323570226039552,0.512050190578893,0.440880776918568,0.510947570824873,0.275730659012651
0.955649437301463,1.09217053458166,0.785439220535921,0.688056436709938,0.376314963057514
